#{"t_start": 1790417062.4237332, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-0.2236,2236,145.5319,1226,164,2236,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,0,0
0.025786,390,145.973788,1227,172,390,0,0,0,2,0,0,0,False,,0,1,6
0.0,1,146.664605,1228,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,2
-1.033442,606,148.311188,1229,189,606,0,0,0,0,0,0,1,False,,0,0,4
-0.2235,2235,151.286293,1230,165,2235,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,0,0
1.041996,227,151.576012,1231,166,227,0,1,1,0,0,0,0,False,,0,3,0
-0.454612,192,151.822799,1232,183,192,0,0,0,0,1,1,0,False,,0,0,0
0.0,1,152.715266,1233,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,15
-1.009776,172,152.932802,1234,155,172,0,0,0,0,0,0,1,False,,0,0,1
-1.1612,1612,155.354576,1235,160,1612,0,0,0,0,0,1,1,False,,0,8,0
-0.452479,173,155.586572,1236,177,173,0,0,0,0,1,1,0,False,,0,0,0
-1.007399,70,155.720267,1237,177,70,0,0,0,0,0,0,1,False,,0,0,1
-1.003805,104,155.879709,1238,172,104,0,0,0,0,0,0,1,False,,0,0,1
-0.2201,2219,158.888715,1239,181,2219,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,11,0
-1.0035,35,158.992862,1240,183,35,0,0,0,0,0,0,1,False,,0,0,1
-0.457376,221,159.268568,1241,181,221,0,0,0,0,1,1,0,False,,0,0,0
-0.2211,2211,162.084712,1242,189,2211,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,0,3
0.0,1,162.481939,1243,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,2
0.0,1,162.967667,1244,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,2
-0.214069,2233,165.863043,1245,167,2233,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,12,0
-0.458308,228,166.098466,1246,160,228,0,0,0,0,1,1,0,False,,0,0,0
0.0,1,166.547259,1247,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
-1.0026,26,166.63069,1248,155,26,0,0,0,0,0,0,1,False,,0,0,1
-1.037919,758,168.214038,1249,243,758,0,0,0,0,0,0,1,False,,0,3,3
-1.0041,41,168.319905,1250,176,41,0,0,0,0,0,0,1,False,,0,2,0
0.0,1,169.062713,1251,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,7
0.0,1,169.82604,1252,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,14
-1.0037,37,169.922338,1253,159,37,0,0,0,0,0,0,1,False,,0,0,1
-1.0057,57,170.033566,1254,166,57,0,0,0,0,0,0,1,False,,0,0,1
-0.991298,90,170.180879,1255,189,90,0,0,0,0,0,0,1,False,,0,0,4
-1.0042,42,170.276853,1256,165,42,0,0,0,0,0,0,1,False,,0,0,1
-1.0056,56,170.387962,1257,165,56,0,0,0,0,0,0,1,False,,0,0,1
-1.102546,979,171.197945,1258,162,979,0,0,0,0,0,0,1,False,,0,7,0
-1.0052,52,171.305243,1259,165,52,0,0,0,0,0,0,1,False,,0,0,1
-1.0039,39,171.399879,1260,159,39,0,0,0,0,0,0,1,False,,0,0,1
-0.204806,2223,176.463135,1261,177,2223,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,0,3
0.007472,574,177.017385,1262,164,574,0,0,0,1,0,0,0,False,,0,1,3
-1.0063,63,177.139847,1263,149,63,0,0,0,0,0,0,1,False,,0,0,1
-1.0034,34,177.233627,1264,154,34,0,0,0,0,0,0,1,False,,0,0,1
-0.984497,57,177.344784,1265,161,57,0,0,0,0,0,0,1,False,,0,0,1
-0.225069,2237,180.07679,1266,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,12,0
-1.0049,49,180.178828,1267,172,49,0,0,0,0,0,0,1,False,,0,1,1
-1.0033,33,180.265929,1268,166,33,0,0,0,0,0,0,1,False,,0,0,1
-0.222318,2223,183.022771,1269,177,2223,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,0,0
-0.203065,2245,185.759056,1270,155,2245,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,13,3
-1.022018,375,186.108761,1271,183,375,0,0,0,1,0,0,1,False,,0,3,3
0.0,1,186.895529,1272,-1,0,-1,0,0,0,0,0,0,False,恢复次数超限 → 停车,0,0,13
-1.0059,59,187.009057,1273,167,59,0,0,0,0,0,0,1,False,,0,0,1
-1.115855,1158,188.932774,1274,160,1158,0,0,0,1,0,0,1,False,,0,6,3
-1.083117,867,189.634698,1275,167,867,0,0,0,1,0,0,1,False,,0,2,3
-1.0098,98,189.77201,1276,157,98,0,0,0,0,0,0,1,False,,0,0,1
-1.005141,162,191.061384,1277,160,162,0,0,0,0,0,0,1,False,,0,0,1
-1.054971,894,191.930118,1278,182,894,0,0,0,0,0,0,1,False,,0,0,1
-1.0027,27,192.015652,1279,167,27,0,0,0,0,0,0,1,False,,0,0,1
-1.179058,1949,194.315804,1280,166,1949,0,0,0,0,0,0,1,False,,0,11,0
-0.165769,2228,197.018183,1281,172,2228,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,1,0
-1.180289,1795,199.397038,1282,181,1795,0,0,0,0,0,0,1,False,,0,0,1
0.029648,348,199.739067,1283,166,348,0,0,0,1,0,0,0,False,,0,0,3
-1.015195,172,199.947112,1284,165,172,0,0,0,0,0,0,1,False,,0,0,1
0.01384,504,200.411774,1285,168,504,0,0,0,2,0,0,0,False,,0,1,6
-0.215048,2236,204.295686,1286,164,2236,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,11,0
-0.455337,198,204.598251,1287,163,198,0,0,0,0,1,1,0,False,,0,0,0
